source_id,post_text,normalized_text,text_hash,annotated_sentiment,like_count,love_count,care_count,haha_count,wow_count,sad_count,angry_count,joy,affection,amusement,surprise,sadness,anger,care_empathy,fear,disgust,approval,sarcasm,pride,gratitude,disappointment,grief,jealousy,confusion,nostalgia,hope,excitement,relief,embarrassment,joy_mask,affection_mask,amusement_mask,surprise_mask,sadness_mask,anger_mask,care_empathy_mask,fear_mask,disgust_mask,approval_mask,sarcasm_mask,pride_mask,gratitude_mask,disappointment_mask,grief_mask,jealousy_mask,confusion_mask,nostalgia_mask,hope_mask,excitement_mask,relief_mask,embarrassment_mask
1,නගර සභාව සතු වාහන කිහිපයක් බදු වැඩිවීමට සම්බන්ධව අත්අඩංගුවට.,නගර සභාව සතු වාහන කිහිපයක් බදු වැඩිවීමට සම්බන්ධව අත්අඩංගුවට.,eb1ff1ee447f0eb21f9ba1d22cf6edda,Neutral,123,72,41,29,35,74,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,"මට හොඳ දවසක් නොවුණත් ""පරිස්සමින් ගෙදර යන්න"" කියලා ආපු message එක හිත සනසලා දැම්මා. හිත පිරෙන කතාවක්. ❤️✨","මට හොඳ දවසක් නොවුණත් ""පරිස්සමින් ගෙදර යන්න"" කියලා ආපු message එක හිත සනසලා දැම්මා. හිත පිරෙන කතාවක්. ❤️✨",51c56822c8f7b67e43f1d1ee973fd03a,Positive,777,543,50,32,24,7,4,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,බිලියන අටක් ඉන්න ලෝකේ ඇයි ඔබ තෝරගත්තෙ ඔබව මගහරින කෙනාවම 🙄💔,බිලියන අටක් ඉන්න ලෝකේ ඇයි ඔබ තෝරගත්තෙ ඔබව මගහරින කෙනාවම 🙄💔,43b18482234c4d192752f56e1d468b60,Negative,1045,33,9,366,12,349,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,"සමහර වෙලාවට හිතෙනවා, මේ පාසල් අර්බුදය ගැන කවුරුවත් කතා කරන්නේ නෑ, ලැජ්ජයි.
ප්‍රමාණවත්! දැන් හරි.","සමහර වෙලාවට හිතෙනවා, මේ පාසල් අර්බුදය ගැන කවුරුවත් කතා කරන්නේ නෑ, ලැජ්ජයි. ප්රමාණවත්! දැන් හරි.",2239edc840250491f575bb2a2b2c82af,Negative,17,1,1,1,8,7,123,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,"අපිට 2/3 ක් තියෙනව, ජනාධිපති ධූරයත් තියෙනව. ඒ නිසා මාලිමා ආණ්ඩුව හිතනවා අපිට දැන් ඕන දෙයක් කරන්න පුලුවන් කියල. ඒ නිසයි රටයි ලෝකයයි දෙකම විරුද්ධ වෙද්දි 22 ගෙනාවෙ. ඒ උද්දච්චකම ම තමයි ආණ්ඩුවට විනාශය ගේන්නෙ.","අපිට 2/3 ක් තියෙනව, ජනාධිපති ධූරයත් තියෙනව. ඒ නිසා මාලිමා ආණ්ඩුව හිතනවා අපිට දැන් ඕන දෙයක් කරන්න පුලුවන් කියල. ඒ නිසයි රටයි ලෝකයයි දෙකම විරුද්ධ වෙද්දි 22 ගෙනාවෙ. ඒ උද්දච්චකම ම තමයි ආණ්ඩුවට විනාශය ගේන්නෙ.",7252f3edae582c17909b2df6efc50854,Negative,80,0,1,13,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,"“කවදාවත් අල්ලන් බෑ කියපු ජනමාධ්‍ය 
වලින් දැවැන්ත චරිත මවපු පාතාලේ උන්
හූනෝ..ගෙම්බෝ..මීයෝ වගේ 
අල්ලන් එනවා..මාලිමා ආණ්ඩුවක් 
ආවේ නැත්තම් එහෙම වෙයිද....”
-මාලිමා මන්ත්‍රී රුවන් මාපලගම දෙරණ වාදපිටියේදී",“කවදාවත් අල්ලන් බෑ කියපු ජනමාධ්ය වලින් දැවැන්ත චරිත මවපු පාතාලේ උන් හූනෝ..ගෙම්බෝ..මීයෝ වගේ අල්ලන් එනවා..මාලිමා ආණ්ඩුවක් ආවේ නැත්තම් එහෙම වෙයිද....” -මාලිමා මන්ත්රී රුවන් මාපලගම දෙරණ වාදපිටියේදී,c56e11831bcdad71b4981e89e936e205,Positive,897,53,2,1344,2,1,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,"🔴 රුපියල් මිලියන 160ක වියදමින් ඌව පරණගමට ජල පවිත්‍රාගාර ව්‍යාපෘතියක් - පවුල් 5,200කට වැඩි පිරිසකට ප්‍රතිලාභ   

ඌව පරණගම ප්‍රදේශයේ ජනතාවගේ පානීය ජල අවශ්‍යතාව විධිමත්ව සපුරාලීම අරමුණු කරගනිමින් රුපියල් මිලියන 160ක පිරිවැයකින් ඉදිකිරීමට නියමිත මැදවෙල ජල පවිත්‍රාගාර ව්‍යාපෘතියට මුල්ගල තැබීම ඊයේ (26) සිදුකර තිබෙනවා.

ජාතික ජල සම්පාදන හා ජලප්‍රවාහන මණ්ඩලයේ පූර්ණ ප්‍රතිපාදන යටතේ ක්‍රියාත්මක වන මෙම ව්‍යාපෘතිය මගින් දිනකට ජලය ඝන මීටර 2,000ක ධාරිතාවකින් යුත් පූර්ණ ජල පිරිපහදු පද්ධතියක් ස්ථාපනය කරන බවයි සඳහන්.

මෙම ව්‍යාපෘතිය යටතේ මැදවෙල, දවුල්දෙන, කරගහ උල්පත සහ කැටගොඩ යන ප්‍රදේශ ආවරණය වන අතර, එමගින් ප්‍රදේශයේ පාරිභෝගිකයින් 5,292කට ආසන්න සංඛ්‍යාවකට සෘජු ප්‍රතිලාභ හිමිවීමට නියමිතයි.  

මෙම පූර්ණ පිරිපහදු පද්ධතිය සඳහා වායුකරණ ඒකකය, කැටිතිකරණ ටැංකිය, අවසාදිත ටැංකිය, වේගවත් වැලි පෙරහන, කාර්යාල හා රසායනික ගොඩනැගිල්ල මෙන්ම පසු සේදීම් සහ ජල පොම්පාගාරය ඇතුළු සියලුම ප්‍රධාන ඒකකයන් ඇතුළත් කර තිබෙනවා. 

මෙම ජල සම්පාදන හා ජල පිරිපහදු ව්‍යාපෘතිය සාර්ථකව නිමකිරීම මගින් ඌව පරණගම ප්‍රදේශයේ ජනතාවට දීර්ඝ කාලයක සිට පැවති ගැටලුවලට විසඳුම් ලැබෙන අතර, ඔවුන්ට ගුණාත්මක, සුරක්ෂිත හා විශ්වාසදායක පානීය ජල සැපයුමක් තහවුරු කිරීමට හැකිවනු ඇති බවයි සඳහන් කළේ.

මෙම මුල්ගල තැබීමේ අවස්ථාව සඳහා මහා සංඝරත්නය පෙරටු කරගනිමින් ඌව පළාත් ආණ්ඩුකාර කපිල ජයසේකර, නිවාස, ඉදිකිරීම් සහ ජල සම්පාදන අමාත්‍ය සුසිල් රණසිංහ, බදුල්ල දිස්ත්‍රික් පාර්ලිමේන්තු මන්ත්‍රී රවීන්ද්‍ර බණ්ඩාර, ඌවපරණගම ප්‍රාදේශීය සභා සභාපති දිනදාස රත්නායක යන මහත්වරුන් ඇතුළු මහජන නියෝජිතයින්, ජල සම්පාදන මණ්ඩලයේ නිලධාරීන් සහ ප්‍රදේශවාසීන් රැසක් එක්ව සිටියා. 

READ MORE >>>https://www.itnnews.lk/2026/08/27/828585/ 
#itnnews  #lankanews #itn #srilanka #lknews","🔴 රුපියල් මිලියන 160ක වියදමින් ඌව පරණගමට ජල පවිත්රාගාර ව්යාපෘතියක් - පවුල් 5,200කට වැඩි පිරිසකට ප්රතිලාභ ඌව පරණගම ප්රදේශයේ ජනතාවගේ පානීය ජල අවශ්යතාව විධිමත්ව සපුරාලීම අරමුණු කරගනිමින් රුපියල් මිලියන 160ක පිරිවැයකින් ඉදිකිරීමට නියමිත මැදවෙල ජල පවිත්රාගාර ව්යාපෘතියට මුල්ගල තැබීම ඊයේ (26) සිදුකර තිබෙනවා. ජාතික ජල සම්පාදන හා ජලප්රවාහන මණ්ඩලයේ පූර්ණ ප්රතිපාදන යටතේ ක්රියාත්මක වන මෙම ව්යාපෘතිය මගින් දිනකට ජලය ඝන මීටර 2,000ක ධාරිතාවකින් යුත් පූර්ණ ජල පිරිපහදු පද්ධතියක් ස්ථාපනය කරන බවයි සඳහන්. මෙම ව්යාපෘතිය යටතේ මැදවෙල, දවුල්දෙන, කරගහ උල්පත සහ කැටගොඩ යන ප්රදේශ ආවරණය වන අතර, එමගින් ප්රදේශයේ පාරිභෝගිකයින් 5,292කට ආසන්න සංඛ්යාවකට සෘජු ප්රතිලාභ හිමිවීමට නියමිතයි. මෙම පූර්ණ පිරිපහදු පද්ධතිය සඳහා වායුකරණ ඒකකය, කැටිතිකරණ ටැංකිය, අවසාදිත ටැංකිය, වේගවත් වැලි පෙරහන, කාර්යාල හා රසායනික ගොඩනැගිල්ල මෙන්ම පසු සේදීම් සහ ජල පොම්පාගාරය ඇතුළු සියලුම ප්රධාන ඒකකයන් ඇතුළත් කර තිබෙනවා. මෙම ජල සම්පාදන හා ජල පිරිපහදු ව්යාපෘතිය සාර්ථකව නිමකිරීම මගින් ඌව පරණගම ප්රදේශයේ ජනතාවට දීර්ඝ කාලයක සිට පැවති ගැටලුවලට විසඳුම් ලැබෙන අතර, ඔවුන්ට ගුණාත්මක, සුරක්ෂිත හා විශ්වාසදායක පානීය ජල සැපයුමක් තහවුරු කිරීමට හැකිවනු ඇති බවයි සඳහන් කළේ. මෙම මුල්ගල තැබීමේ අවස්ථාව සඳහා මහා සංඝරත්නය පෙරටු කරගනිමින් ඌව පළාත් ආණ්ඩුකාර කපිල ජයසේකර, නිවාස, ඉදිකිරීම් සහ ජල සම්පාදන අමාත්ය සුසිල් රණසිංහ, බදුල්ල දිස්ත්රික් පාර්ලිමේන්තු මන්ත්රී රවීන්ද්ර බණ්ඩාර, ඌවපරණගම ප්රාදේශීය සභා සභාපති දිනදාස රත්නායක යන මහත්වරුන් ඇතුළු මහජන නියෝජිතයින්, ජල සම්පාදන මණ්ඩලයේ නිලධාරීන් සහ ප්රදේශවාසීන් රැසක් එක්ව සිටියා. read more >>>https://www.itnnews.lk/2026/08/27/828585/ #itnnews #lankanews #itn #srilanka #lknews",45e7e51b02fd282ffd328b6f8657411d,Positive,168,29,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,"🔴 වත්මන් රජය යටතේ සැමට සමානව නීතිය ක්‍රියාත්මක කරනවා - නි. අමාත්‍ය රුවන් සෙනරත් 

වත්මන් රජය යටතේ සැමට සමානව නීතිය ක්‍රියාත්මක කිරීම පිළිබඳ ජනතාව ප්‍රශංසාව පළකරන බව නියෝජ්‍ය අමාත්‍ය රුවන් සෙනරත් මහතා පවසනවා.

පසුගිය කාලය තුළ අසාධාරණ ලෙස නීතිය ක්‍රියාත්මක කළ මහජන නියෝජිතයින් වර්තමානයේ නීතිය ක්‍රියාත්මක වන ආකාරය පිළිබඳ බියවී ඇති බවයි ඒ මහතා පෙන්වා දෙන්නේ.

නියෝජ්‍ය අමාත්‍යවරයා මෙම අදහස් පළකළේ ලුනුගම්වෙහෙර ප්‍රදේශයේ පැවති ජන හමුවකට එක්වෙමින්.

මේ සඳහා ප්‍රදේශයේ මහජන නියෝජිතයින්, පක්ෂ ක්‍රියාකාරීන්, ගම්වැසියන් ඇතුළු පිරිසක් එක්ව සිටියා.

READ MORE >>> https://www.itnnews.lk/2026/08/24/827844/ 
#itnnews  #lankanews #itn #srilanka #lknews","🔴 වත්මන් රජය යටතේ සැමට සමානව නීතිය ක්රියාත්මක කරනවා - නි. අමාත්ය රුවන් සෙනරත් වත්මන් රජය යටතේ සැමට සමානව නීතිය ක්රියාත්මක කිරීම පිළිබඳ ජනතාව ප්රශංසාව පළකරන බව නියෝජ්ය අමාත්ය රුවන් සෙනරත් මහතා පවසනවා. පසුගිය කාලය තුළ අසාධාරණ ලෙස නීතිය ක්රියාත්මක කළ මහජන නියෝජිතයින් වර්තමානයේ නීතිය ක්රියාත්මක වන ආකාරය පිළිබඳ බියවී ඇති බවයි ඒ මහතා පෙන්වා දෙන්නේ. නියෝජ්ය අමාත්යවරයා මෙම අදහස් පළකළේ ලුනුගම්වෙහෙර ප්රදේශයේ පැවති ජන හමුවකට එක්වෙමින්. මේ සඳහා ප්රදේශයේ මහජන නියෝජිතයින්, පක්ෂ ක්රියාකාරීන්, ගම්වැසියන් ඇතුළු පිරිසක් එක්ව සිටියා. read more >>> https://www.itnnews.lk/2026/08/24/827844/ #itnnews #lankanews #itn #srilanka #lknews",b9990160137574a7349d8c357b113c15,Neutral,44,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,විදුලිබල මණ්ඩලය සතු වාහන කිහිපයක් ජල හිඟයට සම්බන්ධව අත්අඩංගුවට.,විදුලිබල මණ්ඩලය සතු වාහන කිහිපයක් ජල හිඟයට සම්බන්ධව අත්අඩංගුවට.,0d6f769b222b5620b08df71e64766449,Neutral,4,1,2,0,2,2,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,රු.දෙකෝටි හැට ලක්ෂයක මුදල් වංචා චෝදනා එල්ලවූ කෑගල්ලේ මාලිමා නාගරික මන්ත්‍රි සැප්.09 වැනිදා දක්වා රිමාන්ඩ්,රු.දෙකෝටි හැට ලක්ෂයක මුදල් වංචා චෝදනා එල්ලවූ කෑගල්ලේ මාලිමා නාගරික මන්ත්රි සැප්.09 වැනිදා දක්වා රිමාන්ඩ්,462743e4acef7474b08dd93ef8dc06de,Negative,5723,1375,41,1042,58,7,6,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
