record_id,data_origin,annotation_provenance,provided_sentiment,provided_joy,provided_affection,provided_amusement,provided_surprise,provided_sadness,provided_anger,provided_care_empathy,provided_fear,provided_disgust,provided_approval,provided_sarcasm,provided_confidence
RF_POST_000013,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000020,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000029,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000039,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000048,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000058,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000061,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000071,legacy_source,human_adjudicated_development,neutral,no,no,no,no,no,no,no,no,no,no,no,high
RF_POST_000072,legacy_source,human_adjudicated_development,mixed,no,yes,no,no,yes,no,yes,no,no,yes,no,high
RF_POST_000073,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,no,no,no,no,no,no,medium
RF_POST_000086,legacy_source,human_adjudicated_development,negative,no,yes,yes,no,no,no,no,no,no,no,yes,medium
RF_POST_000095,legacy_source,human_adjudicated_development,mixed,no,yes,no,no,yes,no,no,no,no,yes,no,high
RF_POST_000096,legacy_source,human_adjudicated_development,positive,yes,yes,no,no,no,no,no,no,no,yes,no,high
RF_POST_000102,legacy_source,human_adjudicated_development,negative,no,yes,no,no,yes,no,no,no,no,no,no,medium
RF_POST_000109,legacy_source,human_adjudicated_development,mixed,no,yes,yes,no,no,no,no,no,no,yes,yes,medium
RF_POST_000113,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,yes,no,no,yes,no,yes,medium
RF_POST_000119,legacy_source,human_adjudicated_development,mixed,no,yes,no,no,yes,no,no,no,no,yes,no,high
RF_POST_000128,legacy_source,human_adjudicated_development,negative,no,no,no,no,no,no,no,no,no,yes,no,medium
RF_POST_000132,legacy_source,human_adjudicated_development,positive,no,no,no,no,no,no,yes,no,no,yes,no,high
