angry_count,angry_ratio,angry_ratio_smoothed,baseline_filtered_label,baseline_filtered_score,calculated_total_reactions,care_count,care_ratio,care_ratio_smoothed,data_origin,dominance_margin,dominant_ratio,dominant_reaction,duplicate_count,duplicate_group_id,fusion_score,haha_count,haha_ratio,haha_ratio_smoothed,is_ambiguous,is_duplicate,label_confidence,label_version,language_type,like_count,like_ratio,like_ratio_smoothed,log_total_reactions,love_count,love_ratio,love_ratio_smoothed,model_text,negative_anchor_mass,positive_anchor_mass,privacy_masked,quality_status,reaction_entropy,reaction_provenance,record_id,sad_count,sad_ratio,sad_ratio_smoothed,sentiment_label,source_row_id,source_total_reactions,split,text_hash,text_provenance,total_reactions,wow_count,wow_ratio,wow_ratio_smoothed,provided_sentiment,provided_joy,provided_affection,provided_amusement,provided_surprise,provided_sadness,provided_anger,provided_care_empathy,provided_fear,provided_disgust,provided_approval,provided_sarcasm,provided_confidence,annotation_provenance,v2_candidate_sentiment,v2_sentiment_label,v2_confidence,v2_probability_negative,v2_probability_neutral,v2_probability_positive,v2_probability_mixed,v2_emotion_probability_joy,v2_emotion_probability_affection,v2_emotion_probability_amusement,v2_emotion_probability_surprise,v2_emotion_probability_sadness,v2_emotion_probability_anger,v2_emotion_probability_care_empathy,v2_emotion_probability_fear,v2_emotion_probability_disgust,v2_emotion_probability_approval,v2_emotion_probability_sarcasm,neural_v3_candidate_sentiment,neural_v3_sentiment_label,neural_v3_confidence,neural_v3_probability_negative,neural_v3_probability_neutral,neural_v3_probability_positive,neural_v3_probability_mixed,neural_v3_emotion_probability_joy,neural_v3_emotion_probability_affection,neural_v3_emotion_probability_amusement,neural_v3_emotion_probability_surprise,neural_v3_emotion_probability_sadness,neural_v3_emotion_probability_anger,neural_v3_emotion_probability_care_empathy,neural_v3_emotion_probability_fear,neural_v3_emotion_probability_disgust,neural_v3_emotion_probability_approval,neural_v3_emotion_probability_sarcasm
2,0.0253164556962025,0.0348837209302325,positive,0.6208530805687204,79,1,0.0126582278481012,0.0232558139534883,legacy_source,0.4430379746835443,0.6455696202531646,like,1,DUP_eff1bea08d1c1a41,0.2113159013541824,16,0.2025316455696202,0.1976744186046511,True,False,0.1228865193250301,reactionfusion_v1_provisional,sinhala,51,0.6455696202531646,0.6046511627906976,4.382026634673881,8,0.1012658227848101,0.1046511627906976,විනිසුරුවරුන්ගේ විශ්රාම වයස සංශෝධනය කිරීම ඇතුළු කරුණු ඇතුළත් 22වන ආණ්ඩුක්රම ව්යවස්ථා සංශෝධන පනත් කෙටුම්පත ගැසට් කර තිබේ.,0.0253164556962025,0.1082278481012658,False,approved,0.5352350556429544,legacy_collected_unverified,RF_POST_000001,0,0.0,0.0116279069767441,positive,1,79,train,eff1bea08d1c1a413e584360a0f58368b3162521d47da157b8cae7b2ab295898,legacy_collected_unverified,79,1,0.0126582278481012,0.0232558139534883,,,,,,,,,,,,,,none,neutral,uncertain,0.2895349453530586,0.18075114922322003,0.2895349453530586,0.2793794826402405,0.2503344227834809,0.6407984003158106,0.3919411545982906,0.29610528429401667,6.653153242071672e-05,0.23326503095258727,0.0011338290321611804,0.00010130971540874193,0.020076055908226823,0.012871326388276216,0.5266313697442557,0.0965878625716257,neutral,uncertain,0.33665589369136906,0.14370387587112163,0.33665589369136906,0.32027283043677457,0.19936740000073488,0.3812439573237015,0.44159593179806356,0.45449995869954807,0.048379378048167276,0.3316707533490306,0.09654628333524098,0.14091119066563956,0.06546105845157077,0.17759968156240905,0.43993041378203257,0.2924752724633649
3,0.0031779661016949,0.0042060988433228,neutral,-0.0476190476190476,944,0,0.0,0.0010515247108307,legacy_source,0.3040254237288136,0.6377118644067796,like,1,DUP_22f9e9c97d0c6aed,-0.0032136379972626,315,0.3336864406779661,0.3322818086225026,True,False,0.6847028813751104,reactionfusion_v1_provisional,sinhala,602,0.6377118644067796,0.6340694006309149,6.851184927493743,10,0.010593220338983,0.0115667718191377,"පැය 24ක් යන්නත් පෙර බන්ධනාගාර තුනක් නොසන්සුන් වෙයි බොරැල්ල නව මැගසින්, කුරුවිට, මීගමුව පල්ලන්සේන",0.0116525423728813,0.010593220338983,False,approved,0.4070880345109248,legacy_collected_unverified,RF_POST_000002,8,0.0084745762711864,0.0094637223974763,neutral,2,944,train,22f9e9c97d0c6aed59650af04e73cab542f2e9a4938351df1a36d8087897c443,legacy_collected_unverified,944,6,0.0063559322033898,0.0073606729758149,,,,,,,,,,,,,,none,negative,negative,0.36941239427560757,0.36941239427560757,0.26933604301312775,0.17332366471458033,0.18792789799668447,0.02600120391930952,0.138579004283996,0.23229186108860328,0.07086157844841912,0.2821770528641662,0.8179038542787015,0.48391725401630437,0.4409288352205873,0.6782345248141156,0.2848082563412376,0.7879132845326965,negative,negative,0.49441630195774516,0.49441630195774516,0.250423734945425,0.07934653728501097,0.17581342581181894,0.1513595942421035,0.24304104471603188,0.36254988267436833,0.07659140037126777,0.35028112417477014,0.22132688676436385,0.19835488381510258,0.10930219805351901,0.29386649402901016,0.25256226397911635,0.4490775686235152
8,0.0152380952380952,0.0169172932330827,negative,-0.8888888888888888,525,0,0.0,0.0018796992481203,legacy_source,0.2838095238095238,0.6209523809523809,like,1,DUP_bcf9f3cfa020b706,-0.0918331435268897,177,0.3371428571428571,0.3345864661654135,True,False,0.1683205561575639,reactionfusion_v1_provisional,sinhala,326,0.6209523809523809,0.6146616541353384,6.26530121273771,1,0.0019047619047619,0.0037593984962406,පල්ලන්සේන බන්ධනාගාරයේ නොසන්සුන්තාවක් මේ වනවිට රැඳවියන් පිරිසක් වහලය මත නැග ඇති බව ද සඳහන්ය,0.0323809523809523,0.0019047619047619,False,approved,0.4342404852712776,legacy_collected_unverified,RF_POST_000004,9,0.0171428571428571,0.018796992481203,neutral,4,525,train,bcf9f3cfa020b706dd61d62f40817879f36969367ad55b713d67422294952a9d,legacy_collected_unverified,525,4,0.0076190476190476,0.0093984962406015,,,,,,,,,,,,,,none,negative,negative,0.34346949032290264,0.34346949032290264,0.3371381562424078,0.17981692523088225,0.1395754282038073,0.029231405817576498,0.08319216495416062,0.16903062369110855,0.04388687309795023,0.1432243032586283,0.8758947137873667,0.15312652867706664,0.3463032597594549,0.5873069364490668,0.1496229644387702,0.6413549863650158,negative,negative,0.5602972826240892,0.5602972826240892,0.28231539064087763,0.07074983150423177,0.08663749523080151,0.14402940306098233,0.20959208984406857,0.39246793939919333,0.07774354224587687,0.3290904123982525,0.23789084188129578,0.17227607940175732,0.10551788267202253,0.30055656375808104,0.2154187463634254,0.43198078388469546
0,0.0,0.0232558139534883,positive,1.0,36,1,0.0277777777777777,0.0465116279069767,legacy_source,0.9444444444444444,0.9722222222222222,like,1,DUP_659262edefeae1b1,0.0360466830032841,0,0.0,0.0232558139534883,True,False,0.1912479595235908,reactionfusion_v1_provisional,sinhala,35,0.9722222222222222,0.8372093023255814,3.610917912644224,0,0.0,0.0232558139534883,පේරාදෙණිය විශ්වවිද්යාලයේ කටයුතු 10 වැනිදා සිට යළි ඇරඹෙයි,0.0,0.0152777777777777,False,approved,0.0652293968470351,legacy_collected_unverified,RF_POST_000005,0,0.0,0.0232558139534883,neutral,5,36,train,659262edefeae1b12d1557bde62b40b8986dcdeeafbd148479483513ff8c6202,legacy_collected_unverified,36,0,0.0,0.0232558139534883,,,,,,,,,,,,,,none,negative,negative,0.3269955822937009,0.3269955822937009,0.20549518804854294,0.2448947803714455,0.22261444928631072,0.11517092457151015,0.11343474837957214,0.011931407685960602,3.914409277651525e-05,0.872312005887622,0.3090886993470763,0.14183506834582787,0.15768972292114275,0.6584457575304437,0.44446174762237073,0.18034951695235948,negative,negative,0.4045264235443205,0.4045264235443205,0.25175587882039036,0.11511962497450971,0.2285980726607795,0.19906776359638484,0.25092834223418375,0.37804160091065253,0.06243251238834578,0.3740431992754093,0.20425016641236957,0.18375394247804946,0.08431737608598878,0.32869669658443706,0.24610687713029553,0.32218687065743146
6,0.0037688442211055,0.0043777360850531,negative,-0.4472965592572365,1592,4,0.0025125628140703,0.0031269543464665,legacy_source,0.5603015075376885,0.7229899497487438,like,1,DUP_82b9390ddfc2e593,-0.2114296090350496,37,0.0232412060301507,0.0237648530331457,True,False,0.1618914133948254,reactionfusion_v1_provisional,sinhala,1151,0.7229899497487438,0.7204502814258912,7.373374309910049,99,0.0621859296482412,0.0625390869293308,කුරුවිට බන්ධනාගාරයේ ගැටුමෙන් දෙදෙනෙකු මරුට,0.1664572864321608,0.0635678391959799,False,approved,0.4686022536418697,legacy_collected_unverified,RF_POST_000006,259,0.1626884422110552,0.1626016260162601,negative,6,1592,train,82b9390ddfc2e593ff118d4db41f1ec2aeb623384b8c8723a0f97f14e84e42fd,legacy_collected_unverified,1592,36,0.0226130653266331,0.0231394621638524,,,,,,,,,,,,,,none,neutral,neutral,0.49213378294296284,0.29143613753789327,0.49213378294296284,0.13057150637719891,0.08585857314194496,0.022094182573890852,0.015013923466508112,0.0016812697997370292,0.5627740026840379,0.12004141771074789,0.00445112435401098,0.44445427132681214,0.0735237721193246,0.43706738822033137,0.018056440154187364,0.37691232317452444,negative,negative,0.45053502182847766,0.45053502182847766,0.36454886550185683,0.11759436448856465,0.0673217481811008,0.1734388497107057,0.28492749605984474,0.2692668844848276,0.08291385070077943,0.37514194661574496,0.1479614615243399,0.2930628627137454,0.10648157112057421,0.24541050671768053,0.2991839325589475,0.38941174043220855
0,0.0,0.0128205128205128,positive,1.0,71,2,0.028169014084507,0.0384615384615384,legacy_source,0.5915492957746479,0.7746478873239436,like,1,DUP_1ea83ccf689b0d51,0.3856844357815048,1,0.0140845070422535,0.0256410256410256,True,False,0.2421673546066723,reactionfusion_v1_provisional,sinhala,55,0.7746478873239436,0.717948717948718,4.276666119016055,13,0.1830985915492957,0.1794871794871795,දුෂ්මන්ත චමීර 2025 වසරේ විස්සයි20 හොඳම පන්දු යවන්නා ශ්රී ලංකා ක්රිකට් සම්මාන රාත්රිය,0.0,0.1985915492957746,False,approved,0.3439232814446463,legacy_collected_unverified,RF_POST_000008,0,0.0,0.0128205128205128,positive,8,71,train,1ea83ccf689b0d511fbab1396db4384422f1039e1448f6a2ca928d4792c2d482,legacy_collected_unverified,71,0,0.0,0.0128205128205128,,,,,,,,,,,,,,none,positive,positive,0.38288326426697106,0.11391949381650068,0.22204972547016247,0.38288326426697106,0.28114751644636576,0.8839507598972909,0.6028651130633724,0.13314976737327858,0.00017856435006032096,0.4943170696110695,0.0003151745455443199,0.047405436897222694,0.012236527877993831,0.024719647567770838,0.936428332726712,0.06680225896562393,positive,positive,0.5741005817220588,0.05487020185481764,0.26788207754324195,0.5741005817220588,0.10314713887988147,0.5441723089905111,0.5355911891898385,0.30918074211081414,0.04515140682865952,0.28340573220742155,0.07225419884002238,0.18423457039690455,0.06206417798824859,0.15670952026989532,0.6035901775192607,0.21885450839734047
1,0.0041152263374485,0.008,negative,-0.4414414414414415,243,1,0.0041152263374485,0.008,legacy_source,0.4074074074074074,0.6872427983539094,like,1,DUP_851546a718aa3d38,-0.0294480872488016,68,0.279835390946502,0.276,True,False,0.5236171176321816,reactionfusion_v1_provisional,sinhala,167,0.6872427983539094,0.672,5.497168225293202,1,0.0041152263374485,0.008,කුරුවිට බන්ධනාගාරයේ රැඳවියන් පිරිසක් අතරද අද (07) නොසන්සුන්කාරී තත්ත්වයක් හටගෙන තිබේ.,0.0164609053497942,0.0063786008230452,False,approved,0.3986419599552787,legacy_collected_unverified,RF_POST_000010,3,0.0123456790123456,0.016,neutral,10,243,train,851546a718aa3d3885ff739b68c82f3d917ad15a23eac58075767946342b70d3,legacy_collected_unverified,243,2,0.0082304526748971,0.012,,,,,,,,,,,,,,none,negative,negative,0.3442536962535855,0.3442536962535855,0.23217799285979437,0.20947890241734413,0.214089408469276,0.06228716831252795,0.1595847291834624,0.09928678704571858,0.015431302397925409,0.39993241705230453,0.7890213722391691,0.4612072316800699,0.5814270896578293,0.6566957926405718,0.33758259278129266,0.5907382608508329,negative,negative,0.6345573104143811,0.6345573104143811,0.1553259847382082,0.08923607117905545,0.12088063366835514,0.1668674896814635,0.24170222774036473,0.3856962914932779,0.07028598224423352,0.35302642715981886,0.22331119273093286,0.182525072712508,0.10196670229312288,0.3075524735267857,0.2497395350751594,0.4269647713719314
0,0.0,0.0009469696969696,positive,0.9792584910552242,1049,7,0.0066730219256434,0.0075757575757575,legacy_source,0.6234509056244042,0.8017159199237369,like,1,DUP_cf009ce315a14943,0.3573883376624716,7,0.0066730219256434,0.0075757575757575,True,False,0.3033114267230498,reactionfusion_v1_provisional,sinhala,841,0.8017159199237369,0.7973484848484849,6.956545443151569,187,0.1782650142993327,0.178030303030303,"මහ නගර සභාවට වරිපනම් නොගෙ වූ කොළඹ 7 ඉඩම් 30 පවරා ගන්න යනවා කොළඹ කොටුව දේපළ58 ක් ,වැල්ලවත්තේ දේපළ 67ක් කෝටි ගණන් දේපළ ඒ අතර",0.0019065776930409,0.1819351763584366,False,approved,0.3026226936138019,legacy_collected_unverified,RF_POST_000014,2,0.0019065776930409,0.002840909090909,positive,14,1049,train,cf009ce315a149434c57f0e800f7b09c76f726d183d80d5fb3c7ed35feb62231,legacy_collected_unverified,1049,5,0.0047664442326024,0.0056818181818181,,,,,,,,,,,,,,none,neutral,uncertain,0.29215521693247737,0.28279793649239054,0.29215521693247737,0.2832293850172115,0.1418174615579206,0.5267630184957194,0.23397718826419467,0.02183108607671534,0.017250556383573475,0.13138554642816266,0.00798651395062015,0.7772967738346523,0.0048960126818105775,0.5685052187988978,0.6714406668985937,0.4980043366150344,positive,uncertain,0.34749564490462415,0.23720076254219744,0.21190426217618746,0.34749564490462415,0.203399330376991,0.3620397253528852,0.4156322422316926,0.23803883873442921,0.06074828448084013,0.3034032870891996,0.12488557519682693,0.25780835128276025,0.0822725586645742,0.2359938610343682,0.5102522355593914,0.3058657280589422
0,0.0,0.0099009900990099,neutral,0.0,94,0,0.0,0.0099009900990099,legacy_source,0.2765957446808511,0.6382978723404256,like,1,DUP_fb449f1b2de61d04,0.0,34,0.3617021276595745,0.3465346534653465,True,False,0.566192930032851,reactionfusion_v1_provisional,sinhala,60,0.6382978723404256,0.6039603960396039,4.553876891600541,0,0.0,0.0099009900990099,ගොවි විරෝධය සාධාරණයි! නිෂ්පාදන අලෙවි ගැටලු තිබෙනවා. කෘෂිකර්ම අමාත්ය කේඩී ලාල්කාන්ත,0.0,0.0,False,approved,0.336290581168065,legacy_collected_unverified,RF_POST_000016,0,0.0,0.0099009900990099,neutral,16,94,train,fb449f1b2de61d044c06a50c71371569f13adc6a8bc9c8c5e3ee0dead4a5bb0b,legacy_collected_unverified,94,0,0.0,0.0099009900990099,,,,,,,,,,,,,,none,mixed,mixed,0.3498475735091441,0.291494732304527,0.14530117246094393,0.213356521725385,0.3498475735091441,0.1194185811101045,0.3330369403967569,0.2936601608851686,0.003411510247580152,0.5650539651290611,0.8452346349781292,0.33604655409701106,0.7509013118618012,0.6816069367922876,0.5351520882284715,0.705021397699338,negative,negative,0.6571117048126722,0.6571117048126722,0.09326611333341585,0.08882693715614981,0.16079524469776202,0.1838003131988816,0.2676837914825281,0.4642052433811338,0.06164442680646602,0.3767970009480972,0.21775516106160792,0.15454777765285105,0.09462685708725227,0.30843024243570694,0.25697756209815337,0.44027047412122855
0,0.0,0.0035714285714285,positive,1.0,273,0,0.0,0.0035714285714285,legacy_source,0.2234432234432234,0.608058608058608,haha,1,DUP_16f94fc9dae2f169,0.0264111000370621,166,0.608058608058608,0.5964285714285714,True,False,0.5291774197269173,reactionfusion_v1_provisional,sinhala,105,0.3846153846153846,0.3785714285714285,5.613128106388071,2,0.0073260073260073,0.0107142857142857,මහා භාණ්ඩාගාරයේ ඩොලර් මිලියන 2 . 5 අස්ථානගත වීම නිලධාරීන් අනූ එකකගෙන් ප්රකාශ අරන් - විමර්ශන දිගටම මහජන ආරක්ෂක ඇමැති,0.0,0.0073260073260073,False,approved,0.3628229520996447,legacy_collected_unverified,RF_POST_000018,0,0.0,0.0035714285714285,neutral,18,273,train,16f94fc9dae2f169cbdff28cf9374016143b378ed34b8bf41d8ef4844cff434d,legacy_collected_unverified,273,0,0.0,0.0035714285714285,,,,,,,,,,,,,,none,negative,negative,0.3126274328679565,0.3126274328679565,0.18743981031040602,0.20744549910561794,0.29248725771601947,0.12134730143050941,0.4132312864944418,0.7858132699181971,0.03969086720738196,0.48780996664612125,0.8312661378202285,0.3249225073283641,0.2495942383997721,0.6323929867188269,0.5150961320878622,0.8288506005847412,negative,negative,0.5724527359787221,0.5724527359787221,0.12979303650745097,0.11113232716699895,0.18662190034682785,0.19278329316818446,0.27689033024603893,0.4944480670829631,0.06407581052580016,0.36191667314748815,0.2176709950419072,0.14730209410579298,0.09175434424977506,0.30513480969194245,0.25865449418779185,0.45803468426196686
